frame_idx,timestamp_s,face_detected,au06_cheek_raise_proxy,au12_lip_corner_pull_proxy,au09_nose_wrinkle_proxy,au10_upper_lip_raise_proxy,au24_lip_press_proxy,au45_blink_proxy,cheek_composite_proxy,mouth_open_proxy,mouth_asymmetry_proxy,head_yaw_proxy,head_roll_deg,video_id,source_file,source_fps,processed_fps,frame_step
0,0.0,1,-0.7168487437198909,0.009725802469163504,0.33680857637629846,-0.44532208292033154,-0.0007920454678357089,-0.5584402080497046,-0.384148341390353,0.0007920454678357089,0.019642205391445133,0.038671295265046535,3.5413583090293734,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
1,0.01,1,-0.7173905219109113,0.008160033971538604,0.33358744777571187,-0.43286359633198845,-0.0038555909244287045,-0.5575179472555339,-0.3806980280904537,0.0038555909244287045,0.01984564131081649,0.03430286118034948,3.493530278468791,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
2,0.02,1,-0.7186062483259021,0.007458793279663666,0.33327371756978497,-0.4269077168027147,-0.0038741915143919,-0.5573401023829923,-0.37935172394965105,0.0038741915143919,0.020162438631743437,0.03152912324761982,3.4802248012415835,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
3,0.03,1,-0.7201345273685509,0.00698640782041658,0.3333934393269548,-0.422623473873095,-0.004044834410002529,-0.556973367405611,-0.3785905311404098,0.004044834410002529,0.020470161968836664,0.029842078859713187,3.491682267004875,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
4,0.04,1,-0.7203999448746875,0.0062765691143541824,0.3332882831101283,-0.4191798930365907,-0.004282904785335538,-0.556003211651416,-0.37776775626564135,0.004282904785335538,0.020361933951053506,0.027508238551149335,3.482641915232804,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
5,0.05,1,-0.7216636772516574,0.005333180678875467,0.3330858418345905,-0.4151782841682867,-0.004734907375982278,-0.5556662674144961,-0.37716959358035623,0.004734907375982278,0.019893503717671665,0.024513631266228107,3.4039139783783288,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
6,0.06,1,-0.7236828368078299,0.004631903564066218,0.3306436627361141,-0.4117064795472502,-0.0052793054986319645,-0.5554349175379684,-0.3769191375970046,0.0052793054986319645,0.019054578698399362,0.02270821199912904,3.325698233515784,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
7,0.07,1,-0.7243038714037597,0.00458660915522166,0.3305490059296246,-0.4084957843604795,-0.005887867765531445,-0.5523754555778588,-0.3760710155363392,0.005887867765531445,0.01834747080558906,0.022527734914828786,3.2417311495056054,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
8,0.08,1,-0.7246891575575451,0.00391836260581374,0.3298695565177345,-0.40676503807553593,-0.006340265628439747,-0.5532997272086457,-0.37584527767575576,0.006340265628439747,0.01692327743077694,0.02065701952641166,3.0945343903745526,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
9,0.09,1,-0.723842518069769,0.004074740048332617,0.3283347672898123,-0.40503293891773945,-0.006534275609352076,-0.5635389163597705,-0.3749335723130586,0.006534275609352076,0.015760473275034288,0.018483411710747886,2.8763174422598135,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
10,0.1,1,-0.7250987773456579,0.005034402682609438,0.32703957820376967,-0.4045665167969345,-0.007492666501338013,-0.5697478495073278,-0.3748769638199943,0.007492666501338013,0.013918346834939038,0.015437561163182548,2.5978586727240325,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
11,0.11,1,-0.7237555220031529,0.005455171806354845,0.32835015113609684,-0.4035172244617371,-0.0071778787906027494,-0.5743598906946309,-0.373939191552845,0.0071778787906027494,0.011278006894580195,0.012910034564979333,2.2174185277242917,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
12,0.12,1,-0.7247950447477096,0.0058370371377410735,0.3324060388828203,-0.40306696844820095,-0.007027483074028681,-0.571486827436964,-0.37400832535272316,0.007027483074028681,0.010606137124882252,0.010258142506603096,1.9309829140507813,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
13,0.13,1,-0.7225875818738061,0.0059634236587866015,0.3310693735899427,-0.40139834263065216,-0.006554695852590653,-0.5790362287463274,-0.3726741669485572,0.006554695852590653,0.006782927038848318,0.006258967068562079,1.5252751049241315,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
14,0.14,1,-0.7228899391266228,0.007113893758534594,0.3300158664126472,-0.40139002057008705,-0.006735690872529499,-0.5870795641920232,-0.3723886886460584,0.006735690872529499,0.0024396342977640495,0.0002264073193183799,1.0655246236877434,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
15,0.15,1,-0.7248098615677983,0.008829374797130456,0.3304198065158124,-0.40128876760503124,-0.007346067094316061,-0.5834700582559667,-0.3724230847918997,0.007346067094316061,0.002225703251904712,-0.0009002166125740836,0.9127435556023895,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
16,0.16,1,-0.724749286901483,0.007142068313138464,0.3333992023008242,-0.39945145993585524,-0.006642351446880917,-0.5903704916963914,-0.37235289284139994,0.006642351446880917,0.004382159288225311,-0.005478806779468195,0.506812808264993,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
17,0.17,1,-0.7264460179000747,0.0072162188093692035,0.33239625964110414,-0.3998192845453534,-0.005914648641732105,-0.5916381905865538,-0.37301636121201964,0.005914648641732105,0.008577685146931469,-0.012217577340487555,0.0014980637470636147,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
18,0.18,1,-0.7265683068472957,0.009317449859985486,0.3301510873038426,-0.3990250813092272,-0.006870995209153084,-0.5849020402649898,-0.3720919794321791,0.006870995209153084,0.005779279649054307,-0.011042442194487002,-0.096737463027821,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
19,0.19,1,-0.728127303165153,0.009759431201870518,0.32931770772712826,-0.39902013895371063,-0.006817569584666158,-0.5890584004656907,-0.3724626703056644,0.006817569584666158,0.010501302972106923,-0.01678361428857703,-0.4481974894659533,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
20,0.2,1,-0.7285555625311482,0.009359951474105102,0.32823560024697895,-0.3978205768529521,-0.005579326676145629,-0.5790471455975224,-0.37233872930333173,0.005579326676145629,0.014844028604638638,-0.02591020654895834,-1.3085092558060267,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
21,0.21,1,-0.7279093982599688,0.009372388682489859,0.3276250789811762,-0.39777328967325015,-0.006316915597271392,-0.5804807915931789,-0.37210343308357635,0.006316915597271392,0.013815555604100088,-0.027976356191250346,-1.380128589758357,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
22,0.22,1,-0.730745796289046,0.008917326588922928,0.32814156585642923,-0.39896155445388337,-0.006177749855217658,-0.5809751302814683,-0.3735966747180021,0.006177749855217658,0.015611564729490034,-0.03342173657352158,-1.7570760343907035,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
23,0.23,1,-0.7288421150170976,0.00889591536155724,0.3273310519835434,-0.3980597552042878,-0.006520950187530102,-0.579444546043112,-0.3726686516199427,0.006520950187530102,0.013434170118831338,-0.03353816715007168,-1.8260434812201018,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
24,0.24,1,-0.7255886379575532,0.008361055366392214,0.33597010596685656,-0.39650718247523264,-0.0055110109914807155,-0.5766061306089851,-0.3712449216887979,0.0055110109914807155,0.02133555943383461,-0.0463099514838838,-2.5906264813353665,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
25,0.25,1,-0.7284608409580747,0.006880149483942981,0.3361120657471835,-0.3979327479076589,-0.005290945737376252,-0.5850426172077274,-0.3731711464605969,0.005290945737376252,0.02167047156665451,-0.04828257022833726,-2.681668184724902,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
26,0.26,1,-0.7287758859026742,0.006561094746701511,0.3344412857473286,-0.39751310229062,-0.00515784493798118,-0.5858734125247856,-0.3732426311488642,0.00515784493798118,0.021291157458894965,-0.04910611200191371,-2.7790223242915646,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
27,0.27,1,-0.7302944518507659,0.009223802012826224,0.3348667743085831,-0.3962839890194628,-0.005219232560706067,-0.585123950399687,-0.37245154628580085,0.005219232560706067,0.02544927497586584,-0.05557388610971256,-3.1315992698324147,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
28,0.28,1,-0.7325650685850698,0.00976533952229272,0.33632926764160465,-0.39725024642978396,-0.005127653740046482,-0.5847575397727063,-0.37334999183085366,0.005127653740046482,0.02704457651110753,-0.05854619618272045,-3.333720729501812,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100.0,100.0,1
