deepface_ok,deepface_error,deepface_dominant_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_sad,deepface_surprise,deepface_neutral,video_id,source_file,frame_idx,timestamp_s
1,,sad,9.100777626037598,0.19433236122131348,12.705558776855469,0.20232659578323364,67.2326889038086,0.015960155054926872,10.548364639282227,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,0,0.0
1,,sad,0.648731529712677,0.002376657212153077,1.2191530466079712,0.0038481426890939474,95.21356201171875,1.367017148368177e-06,2.9123284816741943,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,100,1.0
1,,sad,0.7154233455657959,0.2364540994167328,21.516380310058594,0.010029740631580353,77.29790496826172,1.1945871847274248e-05,0.2238004505634308,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,200,2.0
1,,sad,0.0004526513221208006,0.00035349372774362564,9.822867393493652,2.0657949789892882e-05,90.17533874511719,2.5237840262093414e-08,0.0009650096180848777,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,300,3.0
1,,sad,0.0009422464645467699,6.344306893879548e-05,16.440454483032227,16.568010330200195,65.05167388916016,0.0001260669669136405,1.9387354850769043,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,400,4.0
1,,fear,0.0009922744939103723,8.096494141796029e-09,97.63807678222656,0.41978517174720764,0.011896742507815361,0.16819429397583008,1.7610504627227783,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,500,5.0
1,,fear,0.024410279467701912,1.8618006834003609e-06,40.36869812011719,34.31442642211914,0.27675995230674744,0.16639181971549988,24.849306106567383,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,600,6.0
1,,happy,0.02490937151014805,8.132255402415467e-07,47.84170150756836,51.5937614440918,0.22066111862659454,0.0016054861480370164,0.31735530495643616,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,700,7.0
1,,happy,0.08886435627937317,1.3565787071456725e-07,30.76801109313965,66.87065887451172,0.001832190784625709,1.379644751548767,0.8909952640533447,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,800,8.0
1,,happy,0.02481064945459366,7.764401743770577e-06,5.454615116119385,93.82137298583984,0.0944080501794815,0.0007106469129212201,0.6040740013122559,2025-12-23_14-33-37_Roy_1,2025-12-23 14-33-37 Roy 1.mp4,900,9.0
