deepface_ok,deepface_error,deepface_dominant_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_sad,deepface_surprise,deepface_neutral,video_id,source_file,frame_idx,timestamp_s
1,,neutral,13.514204025268555,1.1918266864086036e-05,1.782285451889038,0.25799641013145447,0.6961327791213989,6.93654203414917,76.81283569335938,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,0,0.0
1,,surprise,0.9399837851524353,0.00013593609037343413,7.8737897872924805,0.014763450250029564,0.08324434608221054,91.05479431152344,0.033281661570072174,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,100,1.0
1,,surprise,1.6244590282440186,0.00012486746709328145,5.7778754234313965,0.022624559700489044,0.06192925572395325,92.44166564941406,0.07132833451032639,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,200,2.0
1,,surprise,0.7392526268959045,1.5114873349375557e-05,0.46772080659866333,0.01749800704419613,0.02747453562915325,98.7063217163086,0.04171460121870041,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,300,3.0
1,,neutral,15.697011947631836,0.00013253532233648002,10.53335189819336,0.4934069514274597,4.675778388977051,21.88918685913086,46.71113204956055,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,400,4.0
1,,surprise,20.031253814697266,0.025354059413075447,29.607471466064453,1.4410502910614014,3.759784460067749,33.43130111694336,11.703792572021484,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,500,5.0
1,,sad,2.1296098232269287,0.1554354876279831,4.205555438995361,1.2456921339035034,80.26127624511719,0.026943065226078033,11.975488662719727,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,600,6.0
1,,fear,0.4228004515171051,0.0016599814407527447,88.74720764160156,1.1306750774383545,7.199075698852539,0.42973825335502625,2.068847179412842,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,700,7.0
1,,fear,7.248058319091797,0.048889558762311935,52.396446228027344,0.7052866816520691,18.27389144897461,1.067672610282898,20.25975227355957,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,800,8.0
1,,sad,9.535957336425781,0.09342765808105469,9.701326370239258,0.22066184878349304,47.564659118652344,0.0888126939535141,32.7951545715332,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,900,9.0
1,,sad,0.6872977018356323,0.0016212763730436563,10.479310035705566,2.573965311050415,83.42732238769531,0.06470717489719391,2.765777111053467,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,1000,10.0
1,,sad,1.7079432010650635,0.007239946164190769,5.310608386993408,3.2461979389190674,57.93061828613281,0.038850050419569016,31.7585391998291,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,1100,11.0
1,,sad,4.984684944152832,0.11550503969192505,6.265259742736816,3.4419376850128174,44.134368896484375,0.06040990352630615,40.997840881347656,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,1200,12.0
1,,neutral,8.022719383239746,0.0010381834581494331,2.979428768157959,0.06451991200447083,34.73928451538086,0.00856838934123516,54.184444427490234,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,1300,13.0
1,,neutral,0.014621309004724026,1.9150589447569644e-10,0.01979861594736576,0.03518223762512207,0.04186141490936279,0.00245229946449399,99.8860855102539,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,1400,14.0
1,,neutral,3.622488021850586,1.6411066781074624e-06,10.891831398010254,1.7413910627365112,1.139445185661316,10.010688781738281,72.59416198730469,2026-01-08_10-25-28,2026-01-08 10-25-28.mp4,1500,15.0
