deepface_ok,deepface_error,deepface_dominant_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_sad,deepface_surprise,deepface_neutral,video_id,source_file,frame_idx,timestamp_s
1,,sad,5.028104782104492,0.0011736806482076645,20.749958038330078,2.349834442138672,71.54981231689453,0.03628913313150406,0.2848235070705414,P1L42069,P1L42069.mp4,0,0.0
1,,sad,0.970925509929657,0.003016252536326647,12.887843132019043,1.5108247995376587,82.47334289550781,0.0004698084376286715,2.1535751819610596,P1L42069,P1L42069.mp4,100,1.0
1,,sad,0.24221038818359375,5.0358186854282394e-05,1.159780502319336,0.14952442049980164,97.9031982421875,3.202709194738418e-06,0.5452247262001038,P1L42069,P1L42069.mp4,200,2.0
1,,sad,0.15705585479736328,1.4861732324789045e-06,3.748138189315796,1.0359758138656616,93.47576904296875,2.7106000288767973e-06,1.5830563306808472,P1L42069,P1L42069.mp4,300,3.0
1,,neutral,0.07818180322647095,2.0323299987357046e-10,0.0009174189763143659,0.006367559544742107,6.893906593322754,3.473862975056363e-08,93.0206298828125,P1L42069,P1L42069.mp4,400,4.0
1,,sad,0.00021418678807094693,5.046354445426005e-10,13.821563720703125,13.1626558303833,72.98043060302734,7.071035423855676e-11,0.03513031825423241,P1L42069,P1L42069.mp4,500,5.0
1,,happy,29.04948616027832,7.151945465011522e-05,10.723569869995117,49.32704162597656,3.662536382675171,2.532911777496338,4.704381465911865,P1L42069,P1L42069.mp4,600,6.0
1,,happy,0.00014433077012654394,3.0981664456142255e-10,0.32020923495292664,92.64651489257812,7.027434825897217,1.00918206083489e-11,0.005699506960809231,P1L42069,P1L42069.mp4,700,7.0
1,,happy,0.00032430613646283746,3.823095617860872e-09,3.9471185207366943,93.91206359863281,0.5686306357383728,1.1839065727770048e-08,1.5718703269958496,P1L42069,P1L42069.mp4,800,8.0
1,,neutral,0.03237135708332062,1.1077718298224681e-08,0.18018464744091034,0.11615899950265884,2.5302112102508545,0.00032165905577130616,97.14075469970703,P1L42069,P1L42069.mp4,900,9.0
