deepface_ok,deepface_error,deepface_dominant_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_sad,deepface_surprise,deepface_neutral,video_id,source_file,frame_idx,timestamp_s
1,,neutral,0.8239611983299255,2.022977605520282e-05,1.7339588403701782,0.1418493390083313,5.3420915603637695,0.0022089143749326468,91.9559097290039,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,0,0.0
1,,happy,2.4671795472386293e-05,5.795368254301464e-14,3.503067970275879,91.01199340820312,5.484477996826172,8.893233371942699e-11,0.0004350348608568311,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,100,1.0
1,,neutral,1.2079344987869263,5.62334134883713e-05,2.38830304145813,0.5411856770515442,46.72635269165039,0.005445996765047312,49.130714416503906,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,200,2.0
1,,neutral,0.5510081648826599,0.000487419223645702,0.885056734085083,0.5259183645248413,6.576552391052246,0.008438318967819214,91.45254516601562,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,300,3.0
1,,fear,0.20554552972316742,2.0205623513902538e-05,49.84809112548828,0.007362215779721737,8.33546257019043,0.004056831821799278,41.599464416503906,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,400,4.0
1,,sad,3.373281955718994,0.002034031320363283,6.650217056274414,0.4910655915737152,82.26726531982422,0.008963899686932564,7.207174777984619,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,500,5.0
1,,neutral,2.9683737754821777,0.006993887014687061,8.530146598815918,0.3548075556755066,28.77264976501465,0.05367610603570938,59.313350677490234,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,600,6.0
1,,fear,6.77053689956665,0.007062709890305996,57.43914794921875,0.7594490051269531,26.81171417236328,0.13259579241275787,8.07950210571289,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,700,7.0
1,,sad,1.8925100564956665,0.001397763378918171,1.3139985799789429,0.004355081357061863,89.44786071777344,2.1445323000079952e-05,7.339850425720215,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,800,8.0
1,,neutral,4.687673936132342e-06,5.803323688269302e-08,0.0009288148721680045,0.0006090444512665272,6.202568054199219,1.9604642353954205e-09,93.79589080810547,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,900,9.0
1,,neutral,2.702057599890395e-07,4.322255442446021e-09,5.6246477470267564e-05,0.0010592172620818019,1.2397253513336182,8.860798379750623e-12,98.75916290283203,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1000,10.0
1,,fear,5.786203384399414,0.0020073363557457924,75.37644958496094,0.16889390349388123,17.229257583618164,0.18033467233181,1.2568446397781372,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1100,11.0
1,,neutral,4.4346964500618924e-07,5.4872199228839236e-08,0.000354105606675148,0.07342394441366196,6.4193267822265625,1.1547614947593487e-10,93.50689697265625,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1200,12.0
1,,sad,9.956023632184952e-07,1.801705309389945e-07,0.0008768943953327835,0.20835092663764954,50.27475357055664,3.33385784256901e-11,49.51601791381836,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1300,13.0
1,,sad,1.747319221496582,0.00014524563448503613,8.08482551574707,0.08588487654924393,89.54012298583984,0.0004863721551373601,0.5412160754203796,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1400,14.0
1,,sad,4.341706585364591e-07,1.96095744087188e-08,0.00015158338646870106,0.013867211528122425,58.14990234375,1.86711193381206e-12,41.83607864379883,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1500,15.0
1,,neutral,1.8809562334354268e-06,1.252771397730612e-07,0.0004231704806443304,0.017685597762465477,24.737119674682617,6.894900206333432e-10,75.24476623535156,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1600,16.0
1,,neutral,1.0971866686304566e-06,9.053603378106345e-08,0.00043009239016100764,0.07374521344900131,13.75997257232666,3.374704959924202e-09,86.16585540771484,2025-12-23_14-40-26_Maya_1,2025-12-23 14-40-26 Maya 1.mp4,1700,17.0
