metric,duration_s,peak_abs_z,peak_signed_z,n_frames,video_id,event_start_s,event_end_s,requires_manual_confirmation
au09_nose_wrinkle_proxy,0.2599999999999998,5.401417100516931,5.401417100516931,26,2025-12-23_14-26-24_Orna_1,14.8,15.06,True
au09_nose_wrinkle_proxy,0.18999999999999773,6.674749288370936,6.674749288370936,19,2025-12-23_14-26-24_Orna_1,24.96,25.15,True
au09_nose_wrinkle_proxy,0.21999999999999886,3.812898101612842,3.812898101612842,22,2025-12-23_14-26-24_Orna_1,33.43,33.65,True
au09_nose_wrinkle_proxy,0.21999999999999886,4.870326861276506,4.870326861276506,22,2025-12-23_14-26-24_Orna_1,53.65,53.87,True
au09_nose_wrinkle_proxy,0.0899999999999963,3.5138673848871513,3.5138673848871513,9,2025-12-23_14-26-24_Orna_1,56.25,56.339999999999996,True
au09_nose_wrinkle_proxy,0.09000000000000341,3.7383739438649255,3.7383739438649255,9,2025-12-23_14-26-24_Orna_1,81.74,81.83,True
au09_nose_wrinkle_proxy,0.11000000000001364,3.2729330434760557,3.2729330434760557,11,2025-12-23_14-26-24_Orna_1,83.96,84.07000000000001,True
au09_nose_wrinkle_proxy,0.44000000000001194,4.116251947482057,4.116251947482057,44,2025-12-23_14-26-24_Orna_1,88.33,88.77000000000001,True
au09_nose_wrinkle_proxy,0.18999999999999773,5.511437088425858,5.511437088425858,19,2025-12-23_14-26-24_Orna_1,93.9,94.09,True
au09_nose_wrinkle_proxy,0.19000000000001194,3.836089133881336,3.836089133881336,16,2025-12-23_14-26-24_Orna_1,97.6,97.79,True
au09_nose_wrinkle_proxy,0.30000000000001137,3.479167631881156,-3.479167631881156,30,2025-12-23_14-26-24_Orna_1,103.66,103.96000000000001,True
au09_nose_wrinkle_proxy,0.14000000000000057,3.438042835043777,-3.438042835043777,10,2025-12-23_14-26-24_Orna_1,112.04,112.18,True
au09_nose_wrinkle_proxy,0.11000000000001364,5.065904444716333,5.065904444716333,11,2025-12-23_14-26-24_Orna_1,112.55,112.66000000000001,True
au09_nose_wrinkle_proxy,0.2600000000000051,4.80694843949142,4.80694843949142,26,2025-12-23_14-26-24_Orna_1,120.41,120.67,True
au09_nose_wrinkle_proxy,0.18999999999999773,4.511838468494985,4.511838468494985,19,2025-12-23_14-26-24_Orna_1,130.0,130.19,True
