video_id,trial_id,window,window_start_rel_s,window_end_rel_s,deepface_sampled_frames,deepface_success_rate,deepface_dominant_emotion_mode,deepface_angry_mean,deepface_angry_max,deepface_disgust_mean,deepface_disgust_max,deepface_fear_mean,deepface_fear_max,deepface_happy_mean,deepface_happy_max,deepface_sad_mean,deepface_sad_max,deepface_surprise_mean,deepface_surprise_max,deepface_neutral_mean,deepface_neutral_max
P1H31277,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,sad,0.3324111104011535,0.3324111104011535,0.0003367372264619,0.0003367372264619,28.24150276184082,28.24150276184082,0.0019301236607134,0.0019301236607134,69.86903381347656,69.86903381347656,0.0022827440407127,0.0022827440407127,1.552502155303955,1.552502155303955
P1H31277,1,early_0_500ms,0.0,0.5,1,1.0,neutral,0.2163920849561691,0.2163920849561691,0.0037182776723057,0.0037182776723057,1.549843430519104,1.549843430519104,3.167114019393921,3.167114019393921,18.64950942993164,18.64950942993164,0.0039712134748697,0.0039712134748697,76.40945434570312,76.40945434570312
P1H31277,1,short_500_2000ms,0.5,2.0,1,1.0,neutral,0.5680996179580688,0.5680996179580688,0.0010437680175527,0.0010437680175527,1.052839279174805,1.052839279174805,0.5061092376708984,0.5061092376708984,16.533855438232422,16.533855438232422,0.0178611800074577,0.0178611800074577,81.32019805908203,81.32019805908203
P1H31277,1,late_2_5s,2.0,5.0,3,1.0,neutral,10.99052931368351,32.4160270690918,4.11820639983974,12.333234786987305,5.142133176326752,14.498527526855469,0.5014003018538157,0.9502440690994264,18.940348784128826,27.117900848388672,0.24587137438356868,0.7295052409172058,60.06151294708252,95.18926239013672
P1H31277,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,neutral,0.6307481527328491,0.6307481527328491,0.0010344629408791,0.0010344629408791,34.66829299926758,34.66829299926758,0.0816359668970108,0.0816359668970108,15.163345336914062,15.163345336914062,0.0160433202981948,0.0160433202981948,49.43889617919922,49.43889617919922
P1H31277,2,early_0_500ms,0.0,0.5,1,1.0,neutral,0.9483014345169068,0.9483014345169068,0.0009640340576879,0.0009640340576879,18.614294052124023,18.614294052124023,0.2737196981906891,0.2737196981906891,5.598508358001709,5.598508358001709,0.0065559698268771,0.0065559698268771,74.55765533447266,74.55765533447266
P1H31277,2,short_500_2000ms,0.5,2.0,1,1.0,neutral,0.2297775745391845,0.2297775745391845,0.0002745653910096,0.0002745653910096,1.7449703216552734,1.7449703216552734,0.1051129549741745,0.1051129549741745,28.84436798095703,28.84436798095703,0.0322038047015666,0.0322038047015666,69.04328918457031,69.04328918457031
P1H31277,2,late_2_5s,2.0,5.0,3,1.0,neutral,0.39017685254414874,0.5143966674804688,0.0011487457474382665,0.0015085798222571,2.05343230565389,4.358191967010498,0.1779066969950993,0.240982711315155,32.17964426676432,44.85552215576172,0.023430986640353965,0.0433795042335987,65.17426427205403,72.66739654541016
P1H42065,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,0.0130703262984752,0.0130703262984752,3.3106732910681558e-09,3.3106732910681558e-09,99.14217376708984,99.14217376708984,0.730498194694519,0.730498194694519,0.0001665526651777,0.0001665526651777,0.005097048357129,0.005097048357129,0.1089929640293121,0.1089929640293121
P1H42065,1,early_0_500ms,0.0,0.5,1,1.0,fear,0.0028913135174661,0.0028913135174661,4.891300591225445e-07,4.891300591225445e-07,88.9988021850586,88.9988021850586,0.000956070900429,0.000956070900429,10.996877670288086,10.996877670288086,1.1601365486058055e-06,1.1601365486058055e-06,0.0004753670946229,0.0004753670946229
