metric,event_start_rel_s,event_end_rel_s,duration_s,peak_abs_z,peak_signed_z,n_frames,video_id,trial_id,condition
au06_cheek_raise_proxy,0.6199999999999992,0.8599999999999994,0.2400000000000002,4.568721766189909,4.568721766189909,24,P1H31277,1,control
au06_cheek_raise_proxy,1.9400000000000013,2.1800000000000015,0.2400000000000002,4.229664244746575,4.229664244746575,24,P1H31277,1,control
au10_upper_lip_raise_proxy,0.33999999999999986,0.9000000000000004,0.5600000000000005,7.164384669760621,7.164384669760621,56,P1H31277,1,control
au10_upper_lip_raise_proxy,1.9200000000000017,2.209999999999999,0.28999999999999737,9.051921044808903,9.051921044808903,29,P1H31277,1,control
au10_upper_lip_raise_proxy,2.5100000000000016,2.67,0.15999999999999837,6.573589422100314,6.573589422100314,16,P1H31277,1,control
au10_upper_lip_raise_proxy,2.9800000000000004,3.74,0.7599999999999998,5.875516167972765,5.875516167972765,76,P1H31277,1,control
au10_upper_lip_raise_proxy,4.23,4.770000000000001,0.5400000000000009,4.372482630686278,4.372482630686278,54,P1H31277,1,control
au45_blink_proxy,0.0,0.33000000000000007,0.33000000000000007,9.730510230314966,-9.730510230314966,33,P1H31277,1,control
au45_blink_proxy,2.1700000000000017,2.4799999999999986,0.30999999999999694,10.373994208696544,-10.373994208696544,31,P1H31277,1,control
au45_blink_proxy,2.6400000000000006,2.9399999999999995,0.29999999999999893,14.076395416085251,-14.076395416085251,30,P1H31277,1,control
cheek_composite_proxy,0.3200000000000003,1.049999999999999,0.7299999999999986,10.061956937497108,10.061956937497108,73,P1H31277,1,control
cheek_composite_proxy,1.6999999999999993,2.26,0.5600000000000005,11.449009835183114,11.449009835183114,56,P1H31277,1,control
cheek_composite_proxy,2.34,2.6899999999999995,0.34999999999999964,7.982684394030778,7.982684394030778,35,P1H31277,1,control
au12_lip_corner_pull_proxy,0.28000000000000114,0.9899999999999807,0.7099999999999795,4.85432500422973,4.85432500422973,71,P1H31277,2,sweat
au12_lip_corner_pull_proxy,1.0999999999999943,1.2800000000000011,0.18000000000000682,3.9146534144413723,3.9146534144413723,18,P1H31277,2,sweat
au12_lip_corner_pull_proxy,1.5900000000000034,1.8499999999999943,0.2599999999999909,3.3142613819860314,3.3142613819860314,26,P1H31277,2,sweat
au12_lip_corner_pull_proxy,3.8000000000000114,4.159999999999997,0.3599999999999852,3.3592322873274294,3.3592322873274294,36,P1H31277,2,sweat
au24_lip_press_proxy,0.8700000000000045,1.2399999999999807,0.3699999999999761,6.55911565977703,-6.55911565977703,37,P1H31277,2,sweat
au24_lip_press_proxy,4.150000000000006,4.25,0.09999999999999432,3.116112051155824,-3.116112051155824,10,P1H31277,2,sweat
au12_lip_corner_pull_proxy,2.5500000000000007,2.74,0.1899999999999995,3.206417205797048,3.206417205797048,19,P1H42065,1,control
au06_cheek_raise_proxy,1.3000000000000114,1.6599999999999966,0.3599999999999852,8.81677771036232,8.81677771036232,34,P1H42065,2,sweat
au06_cheek_raise_proxy,1.7199999999999989,2.329999999999984,0.6099999999999852,11.632425374027145,-11.632425374027145,59,P1H42065,2,sweat
au06_cheek_raise_proxy,4.6699999999999875,5.009999999999991,0.3400000000000034,17.81080705790733,-17.81080705790733,34,P1H42065,2,sweat
au12_lip_corner_pull_proxy,2.9199999999999875,3.109999999999985,0.18999999999999773,3.9505892267349716,-3.9505892267349716,19,P1H42065,2,sweat
au12_lip_corner_pull_proxy,4.909999999999997,5.009999999999991,0.09999999999999432,6.613423177823698,6.613423177823698,10,P1H42065,2,sweat
au09_nose_wrinkle_proxy,0.0,0.4199999999999875,0.4199999999999875,10.434744175215455,-10.434744175215455,42,P1H42065,2,sweat
au09_nose_wrinkle_proxy,3.3300000000000125,3.6599999999999966,0.3299999999999841,6.320857617464853,-6.320857617464853,33,P1H42065,2,sweat
au09_nose_wrinkle_proxy,3.9199999999999875,4.199999999999989,0.28000000000000114,7.099455403776346,7.099455403776346,28,P1H42065,2,sweat
au09_nose_wrinkle_proxy,4.240000000000009,4.349999999999994,0.10999999999998522,7.341260111230155,-7.341260111230155,11,P1H42065,2,sweat
au09_nose_wrinkle_proxy,4.889999999999986,5.009999999999991,0.12000000000000455,5.103411768635763,5.103411768635763,12,P1H42065,2,sweat
au10_upper_lip_raise_proxy,0.0,0.3100000000000023,0.3100000000000023,6.1943194549823675,6.1943194549823675,31,P1H42065,2,sweat
au10_upper_lip_raise_proxy,0.4300000000000068,0.549999999999983,0.11999999999997613,4.571582156114147,-4.571582156114147,12,P1H42065,2,sweat
au10_upper_lip_raise_proxy,4.8799999999999955,5.009999999999991,0.12999999999999545,5.841048905398395,-5.841048905398395,13,P1H42065,2,sweat
au24_lip_press_proxy,0.3400000000000034,0.5199999999999818,0.1799999999999784,5.504102192125857,-5.504102192125857,15,P1H42065,2,sweat
au24_lip_press_proxy,1.0,1.0900000000000034,0.09000000000000341,3.266636574576935,3.266636574576935,8,P1H42065,2,sweat
au24_lip_press_proxy,1.3199999999999932,1.5,0.18000000000000682,3.336561586601509,3.336561586601509,18,P1H42065,2,sweat
au45_blink_proxy,0.0,0.47999999999998977,0.47999999999998977,84.22080623022681,84.22080623022681,48,P1H42065,2,sweat
cheek_composite_proxy,0.0,0.75,0.75,12.923699049494354,-12.923699049494354,73,P1H42065,2,sweat
cheek_composite_proxy,3.6299999999999955,3.7299999999999898,0.09999999999999432,3.5105428074188603,3.5105428074188603,9,P1H42065,2,sweat
cheek_composite_proxy,4.199999999999989,4.699999999999989,0.5,10.713728224428122,10.713728224428122,50,P1H42065,2,sweat
cheek_composite_proxy,4.780000000000001,5.009999999999991,0.22999999999998977,8.958275097213427,-8.958275097213427,23,P1H42065,2,sweat
au12_lip_corner_pull_proxy,0.33999999999999986,0.879999999999999,0.5399999999999991,10.702022744605559,10.702022744605559,54,P1L42069,1,control
au12_lip_corner_pull_proxy,1.2300000000000004,1.7699999999999996,0.5399999999999991,7.301733454652365,-7.301733454652365,51,P1L42069,1,control
au09_nose_wrinkle_proxy,0.0,0.29999999999999893,0.29999999999999893,4.958863534662785,4.958863534662785,30,P1L42069,1,control
au09_nose_wrinkle_proxy,3.6799999999999997,3.860000000000001,0.1800000000000015,3.798587152978602,-3.798587152978602,18,P1L42069,1,control
au24_lip_press_proxy,3.6799999999999997,3.860000000000001,0.1800000000000015,4.1945784875107055,-4.1945784875107055,16,P1L42069,1,control
au45_blink_proxy,0.27999999999999936,0.9100000000000001,0.6300000000000008,95.89053742696925,95.89053742696925,62,P1L42069,1,control
au45_blink_proxy,4.550000000000001,4.889999999999999,0.3399999999999981,5.391410778276245,5.391410778276245,34,P1L42069,1,control
cheek_composite_proxy,2.2699999999999996,2.450000000000001,0.1800000000000015,3.195918730367827,-3.195918730367827,18,P1L42069,1,control
au10_upper_lip_raise_proxy,0.0,0.44999999999998863,0.44999999999998863,5.983949828909977,5.983949828909977,45,P1L42069,2,sweat
au10_upper_lip_raise_proxy,1.4199999999999875,2.009999999999991,0.5900000000000034,5.367020844893148,5.367020844893148,59,P1L42069,2,sweat
au24_lip_press_proxy,0.0,0.09999999999999432,0.09999999999999432,7.314404626799092,-7.314404626799092,10,P1L42069,2,sweat
au24_lip_press_proxy,0.3499999999999943,0.7800000000000011,0.4300000000000068,11.30418267631234,-11.30418267631234,43,P1L42069,2,sweat
au24_lip_press_proxy,2.460000000000008,2.5600000000000023,0.09999999999999432,3.4624783121556852,-3.4624783121556852,10,P1L42069,2,sweat
au24_lip_press_proxy,4.47999999999999,4.649999999999977,0.1699999999999875,3.376422324447295,-3.376422324447295,17,P1L42069,2,sweat
au24_lip_press_proxy,4.909999999999997,5.009999999999991,0.09999999999999432,3.505054472141616,-3.505054472141616,10,P1L42069,2,sweat
au06_cheek_raise_proxy,0.21000000000000085,0.5099999999999998,0.29999999999999893,7.826707063477723,7.826707063477723,30,P2H31220,1,control
au06_cheek_raise_proxy,1.6300000000000008,1.7699999999999996,0.1399999999999988,4.063010556177598,4.063010556177598,14,P2H31220,1,control
au12_lip_corner_pull_proxy,0.33000000000000007,0.9299999999999997,0.5999999999999996,6.728696619885718,6.728696619885718,60,P2H31220,1,control
au12_lip_corner_pull_proxy,1.1400000000000006,1.33,0.1899999999999995,5.535474849437385,-5.535474849437385,18,P2H31220,1,control
au12_lip_corner_pull_proxy,1.4100000000000001,1.7599999999999998,0.34999999999999964,6.455402326579158,6.455402326579158,35,P2H31220,1,control
au12_lip_corner_pull_proxy,1.9499999999999993,2.2799999999999994,0.33000000000000007,5.902925473307398,-5.902925473307398,27,P2H31220,1,control
au12_lip_corner_pull_proxy,2.3499999999999996,2.539999999999999,0.1899999999999995,3.9904595190411487,-3.9904595190411487,19,P2H31220,1,control
au12_lip_corner_pull_proxy,2.9800000000000004,3.7699999999999996,0.7899999999999991,9.534103648740519,9.534103648740519,72,P2H31220,1,control
au09_nose_wrinkle_proxy,4.120000000000001,4.3100000000000005,0.1899999999999995,3.4563226072194344,-3.4563226072194344,19,P2H31220,1,control
au10_upper_lip_raise_proxy,0.1899999999999995,0.5899999999999999,0.40000000000000036,8.476082100761968,-8.476082100761968,40,P2H31220,1,control
au10_upper_lip_raise_proxy,2.369999999999999,2.76,0.39000000000000057,4.8977753415288365,-4.8977753415288365,39,P2H31220,1,control
au10_upper_lip_raise_proxy,3.59,3.9399999999999995,0.34999999999999964,6.6254042968664315,-6.6254042968664315,34,P2H31220,1,control
au10_upper_lip_raise_proxy,4.010000000000002,4.51,0.4999999999999982,5.207162420906414,-5.207162420906414,50,P2H31220,1,control
au24_lip_press_proxy,0.1899999999999995,0.7899999999999991,0.5999999999999996,4.023603340112887,4.023603340112887,60,P2H31220,1,control
