window,feature,n_pairs,sweat_mean,control_mean,mean_diff_sweat_minus_control,median_diff_sweat_minus_control,paired_effect_dz,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p
baseline_-1000_-500ms,au06_cheek_raise_proxy_delta_mean,7,-7.087869000770825e-06,0.005894764340667415,-0.0059018522096681856,-0.0052416237378319006,-0.42015894330911036,-1.1116360751155916,0.3088425803604897,9.0,0.46875
baseline_-1000_-500ms,au06_cheek_raise_proxy_z_peak_abs,7,3.2751920703630413,3.5843217921782804,-0.30912972181523907,0.37307180380484484,-0.12095837882289322,-0.32002578935491716,0.7597997139829041,14.0,1.0
baseline_-1000_-500ms,au06_cheek_raise_proxy_delta_auc_abs,7,0.007257233579213485,0.0060895601426269414,0.0011676734365865429,0.0031826677080294,0.09351759856125944,0.2474243090010642,0.812829062185455,13.0,0.9375
baseline_-1000_-500ms,au12_lip_corner_pull_proxy_delta_mean,7,-0.0012494936533265857,-0.006341948247483763,0.005092454594157176,0.0024298590136701,0.36326904706206253,0.9611195575336365,0.37360791698997875,10.0,0.578125
baseline_-1000_-500ms,au12_lip_corner_pull_proxy_z_peak_abs,7,6.105506377948031,4.455694882280396,1.6498114956676346,-0.4468290224279545,0.23699081537302444,0.6270187604834457,0.5537414895814059,13.0,0.9375
baseline_-1000_-500ms,au12_lip_corner_pull_proxy_delta_auc_abs,7,0.004175187769834743,0.005288672236969586,-0.001113484467134843,-5.102084578450009e-05,-0.1251590493875352,-0.33113971900866906,0.7517982274837958,13.0,0.9375
baseline_-1000_-500ms,au09_nose_wrinkle_proxy_delta_mean,7,0.0004079613704593001,-0.0005158628759327002,0.0009238242463919996,0.0046875430557594,0.11963500523241948,0.31652447194289296,0.7623273131044486,13.0,0.9375
baseline_-1000_-500ms,au09_nose_wrinkle_proxy_z_peak_abs,7,3.4727436885965384,2.1670322103305013,1.3057114782660373,0.3998068523623042,0.47936757636290594,1.2682873936440135,0.25168240193995267,4.0,0.109375
baseline_-1000_-500ms,au09_nose_wrinkle_proxy_delta_auc_abs,7,0.003999511756362229,0.005125219945264401,-0.0011257081889021717,-0.002167481550162,-0.20023355053679467,-0.5297681788518424,0.6152939523939582,10.0,0.578125
baseline_-1000_-500ms,au10_upper_lip_raise_proxy_delta_mean,7,0.0022770836435444283,-0.003039223908853514,0.0053163075523979435,0.0059523967641327,0.4167086491140495,1.102507454725451,0.3124884452804608,8.0,0.375
baseline_-1000_-500ms,au10_upper_lip_raise_proxy_z_peak_abs,7,2.8608840922651484,3.5962188547872858,-0.7353347625221369,-1.1675475781153208,-0.23058185199765013,-0.6100622372304843,0.5641958948048355,9.0,0.46875
