video_id,trial_id,condition,window,window_start_rel_s,window_end_rel_s,n_frames,face_detection_rate,quality_flag,occlusion_notes,au06_cheek_raise_proxy_raw_mean,au06_cheek_raise_proxy_delta_mean,au06_cheek_raise_proxy_z_peak_abs,au06_cheek_raise_proxy_delta_auc_abs,au12_lip_corner_pull_proxy_raw_mean,au12_lip_corner_pull_proxy_delta_mean,au12_lip_corner_pull_proxy_z_peak_abs,au12_lip_corner_pull_proxy_delta_auc_abs,au09_nose_wrinkle_proxy_raw_mean,au09_nose_wrinkle_proxy_delta_mean,au09_nose_wrinkle_proxy_z_peak_abs,au09_nose_wrinkle_proxy_delta_auc_abs,au10_upper_lip_raise_proxy_raw_mean,au10_upper_lip_raise_proxy_delta_mean,au10_upper_lip_raise_proxy_z_peak_abs,au10_upper_lip_raise_proxy_delta_auc_abs,au24_lip_press_proxy_raw_mean,au24_lip_press_proxy_delta_mean,au24_lip_press_proxy_z_peak_abs,au24_lip_press_proxy_delta_auc_abs,au45_blink_proxy_raw_mean,au45_blink_proxy_delta_mean,au45_blink_proxy_z_peak_abs,au45_blink_proxy_delta_auc_abs,cheek_composite_proxy_raw_mean,cheek_composite_proxy_delta_mean,cheek_composite_proxy_z_peak_abs,cheek_composite_proxy_delta_auc_abs,mouth_open_proxy_raw_mean,mouth_open_proxy_delta_mean,mouth_open_proxy_z_peak_abs,mouth_open_proxy_delta_auc_abs,mouth_asymmetry_proxy_raw_mean,mouth_asymmetry_proxy_delta_mean,mouth_asymmetry_proxy_z_peak_abs,mouth_asymmetry_proxy_delta_auc_abs,head_yaw_proxy_raw_mean,head_yaw_proxy_delta_mean,head_yaw_proxy_z_peak_abs,head_yaw_proxy_delta_auc_abs,head_roll_deg_raw_mean,head_roll_deg_delta_mean,head_roll_deg_z_peak_abs,head_roll_deg_delta_auc_abs
P1H31277,1,control,baseline_-1000_-500ms,-1.0,-0.5,50,1.0,ok,,-0.7642555424028126,0.002921070738127789,1.970662242971317,0.003609349892842576,0.0035316678534549556,-0.0013215601351640439,4.37162805538091,0.0017561649078759456,0.3867642151637815,0.004967151433734208,1.3795725625876385,0.006707545476293545,-0.4591849852062302,0.0003797942486391981,1.8054962998511659,0.0014210808514640298,-0.011234444787407538,-0.0006716889243367354,1.467701907838709,0.0009833154198695781,-0.11925213062605028,-0.021214417291908393,3.34385392919315,0.015835974913698925,-0.4066362865851959,0.002259213329955224,4.554691665835046,0.001924269559356905,0.011234444787407538,0.0006716889243367354,1.467701907838709,0.0009833154198695781,0.027990117595489434,-0.0013968318340042737,6.117836965668417,0.002168436306929469,-0.07115300898516681,-0.0006039797057721069,2.403932406746515,0.0016075980478666694,-2.032807181375625,0.1578690483945726,4.663402254713425,0.19087691367357817
P1H31277,1,control,early_0_500ms,0.0,0.5,50,1.0,ok,,-0.7608215882185756,0.006355024922364689,2.176915764992842,0.003310500171372834,0.021659567843814065,0.016806339855195064,6.223267551023898,0.008225223366992863,0.40122423920651196,0.019427175476464647,1.9082228348378858,0.010388113978227247,-0.4529829707828313,0.006581808672038106,6.339673118894788,0.0047286914708513095,-0.009123697952475257,0.0014390579105955446,1.0420178559555393,0.0006954435584329148,-0.24707212104658555,-0.14903440771244364,9.730510230314966,0.08431339700952348,-0.3973816637191976,0.011513836195953524,6.7475830961051235,0.0056050903859482595,0.009123697952475257,-0.0014390579105955446,1.0420178559555393,0.0006954435584329148,0.03499118091515518,0.005604231485661482,1.7409541313014778,0.0027499636665441474,-0.061824411737726036,0.008724617541668665,4.84329695470778,0.00597880827103035,-2.9318583641701847,-0.7411821343999869,4.851631842395322,0.3574815054471864
P1H31277,1,control,short_500_2000ms,0.5,2.0,150,1.0,ok,,-0.7554546825832884,0.011721930557651935,4.568721766189909,0.017923378845302936,0.022583850175851475,0.01773062218723247,6.681623570078572,0.026450321382786884,0.410847137627708,0.02905007389766082,2.4885070551389035,0.04353364802670534,-0.4494406635391012,0.010124115915768233,8.879534419959336,0.015793923719865977,-0.006855151376628525,0.003707604486442276,1.7190352991755267,0.005528790837815242,-0.2707277889031395,-0.17269007556899751,10.873417604464054,0.29943305030929496,-0.39410383198217935,0.01479166793297179,10.407151562303344,0.021917708180642856,0.006855151376628525,-0.003707604486442276,1.7190352991755267,0.005528790837815242,0.056628822108225285,0.027241872678731564,8.0676535717488,0.040764656480771475,-0.056786313838187455,0.013762715441207244,4.8507108653812665,0.020461101376585758,-3.72354706564496,-1.5328708358747625,5.494210795513521,2.2890402272573214
P1H31277,1,control,late_2_5s,2.0,5.0,300,1.0,ok,,-0.7617852728567437,0.0053913402841965575,4.229664244746575,0.024808237912825923,0.024170555137485318,0.019317327148866317,8.113086093768171,0.057766800614298716,0.41144558062714603,0.029648516897098763,2.52473622560275,0.08872023450307111,-0.4451949587941567,0.014369820660712698,9.051921044808903,0.044375286287286826,-0.003134298822175261,0.007428457040895539,3.5113440972043937,0.02222731967379867,-0.28676730179069926,-0.1887295884565573,14.076395416085251,0.5904279353340489,-0.39426989217113834,0.014625607744012772,11.449009835183114,0.0436473659012047,0.003134298822175261,-0.007428457040895539,3.5113440972043937,0.02222731967379867,0.038123080867178354,0.008736131437684657,5.157917126605433,0.026317622907789696,-0.04232388616317183,0.028225143116222876,9.076131663504464,0.0844923219361717,-3.18656051702699,-0.9958842872567919,4.065930896520429,2.9852340376421527
P1H31277,2,sweat,baseline_-1000_-500ms,-1.0,-0.5,50,1.0,ok,,-0.7495842040301782,0.009596733699436186,2.658305159049071,0.008761479093626559,0.020490493257750167,0.0011082988785061706,2.092112353689748,0.0017051440620914108,0.3922095273162692,-0.002768434560782165,1.9666736677417374,0.004540063926131561,-0.44004776681278523,0.00665918649680877,1.9699193123414724,0.007137974849560496,-0.003178332092221712,-5.639466528120727e-07,2.852243849109188,0.0002939571976863885,-0.18705337477570827,0.005926797817489855,0.9150030620299145,0.05102406764040773,-0.3897138258617377,0.005568871874742156,2.075422568433261,0.0058134133024896764,0.003178332092221712,5.639466528120727e-07,2.852243849109188,0.0002939571976863885,0.08805153525164115,0.00017875530241184267,2.4723520275793924,0.0009891667257774274,-0.07981648466787775,-0.004197793008145344,10.211224267437816,0.0029383109243910853,-7.769230650479728,-0.1898768371674425,2.128336241255187,0.18141742807587938
P1H31277,2,sweat,early_0_500ms,0.0,0.5,50,1.0,ok,,-0.742922349423193,0.01625858830642155,2.815440698539938,0.00876828746182454,0.03241909426015269,0.013036899880908693,4.721721789644522,0.0063705964277021975,0.4016002705972502,0.006622308720198778,2.035641715167993,0.006613180289138529,-0.45923147587696694,-0.012524522567372957,1.8155407011419682,0.007632499406282331,-0.004280781876487492,-0.001103013730918592,3.3504105926036796,0.0005781736679405005,-0.23605958522710696,-0.04307941263390888,1.2014370703549924,0.059719241552973555,-0.3899115770133357,0.0053711207231442026,1.682892383924887,0.0037105863404964363,0.004280781876487492,0.001103013730918592,3.3504105926036796,0.0005781736679405005,0.08051786468645732,-0.0073549152627719995,5.697892347975914,0.003655266076516331,-0.07065356425212826,0.0049651274076041195,3.1059204002185146,0.0025554130505425978,-6.3921578550872,1.1871959582250866,3.4037567224251015,0.5846760789991803
P1H31277,2,sweat,short_500_2000ms,0.5,2.0,150,1.0,ok,,-0.7585945839624627,0.0005863537671517246,2.318628670935585,0.00971215870336288,0.03326040926752705,0.013878214888283048,4.85432500422973,0.0206878101815448,0.413491945383021,0.01851398350596955,2.4674131105144403,0.027888474043475688,-0.47072962744127,-0.024022674131676035,2.316385760554837,0.035775485622794964,-0.004145892323068963,-0.0009681241775000634,6.55911565977703,0.0020179308064196444,-0.3281764052502579,-0.13519623265705974,1.153354192453086,0.2421567072297953,-0.39868793404540187,-0.0034052363089219877,1.02296038296763,0.00817949729472612,0.004145892323068963,0.0009681241775000634,6.55911565977703,0.0020179308064196444,0.08691070688020104,-0.0009620730690282769,5.506457239802456,0.003707743875246109,-0.07152880993657788,0.004089881723154487,2.956357783946439,0.006437025418118764,-6.465008880777094,1.1143449325351915,3.7509670567209197,1.6622186283120013
P1H31277,2,sweat,late_2_5s,2.0,5.0,300,1.0,ok,,-0.7623006837995301,-0.0031197460699155105,0.3943187710317891,0.009322925443207977,0.03143567607439942,0.012053481695155426,4.0890611841766225,0.03606570945287742,0.416356378210606,0.02137841633355461,2.3258159708533577,0.06393607461587716,-0.4752072217157225,-0.02850026840612859,2.4124170952116493,0.08526020707223239,-0.003957191149079373,-0.0007794230035104727,3.116112051155824,0.0023646875081501204,-0.3713638298242204,-0.17838365723102229,1.1174166092286828,0.5334036351081655,-0.4020240764802844,-0.006741378743804454,0.7202978495908974,0.020161219126543915,0.003957191149079373,0.0007794230035104727,3.116112051155824,0.0023646875081501204,0.1088435588371572,0.020970778887927893,11.803324531062055,0.06277406516739738,-0.08446722911324431,-0.00884853745351191,4.121933640822103,0.026488536475693946,-7.778401821248978,-0.19904800793669203,1.18192529788204,0.8483884955615266
P1H42065,1,control,baseline_-1000_-500ms,-1.0,-0.5,50,0.84,ok,,-0.7535342303757752,0.0260063307494301,2.590184591072509,0.02116071435011702,0.029250141691866956,-0.033205681493427744,5.988099659508523,0.01925279519898739,0.3773069696662977,-0.00041681861853882206,3.921421203421929,0.005750489071520599,-0.37605419840009857,-0.026881039108929555,4.740034557266714,0.01804673662661158,-0.01714321417520988,-0.00858294345362788,6.010648364402299,0.005067752767603201,-0.3087399110371843,-0.001048926415942618,0.9798719249414226,0.05783464371070824,-0.3667794290280022,0.010410756459168941,2.382209028012988,0.012118958678526541,0.01714321417520988,0.00858294345362788,6.010648364402299,0.005067752767603201,0.07894534126255742,0.013038613307809513,7.076148943711459,0.009898224160169486,-0.15982428798841766,-0.007842426945158163,1.738012578227369,0.02617808114883572,-4.390433409134357,0.5057715030200122,0.8914105232895984,3.7857224513498777
P1H42065,1,control,early_0_500ms,0.0,0.5,50,1.0,ok,,-0.8131810431104489,-0.03364048198524371,1.4859401874067841,0.01646364005477057,0.10882465586683392,0.04636883268153922,2.8408391049107706,0.022683096883294708,0.43198231665088843,0.054258528366051946,5.274614978059682,0.026562859738862885,-0.39257518782455114,-0.04340202853338213,1.6433814483516733,0.02119597350848724,-0.00612319867343649,0.002437072048145513,0.726921542971206,0.0012034195655363288,-0.4034401641842797,-0.095749179563038,1.3984669150643552,0.05937496188686474,-0.3656438583560554,0.011546327131115825,0.7817086447198652,0.005675562114316544,0.00612319867343649,-0.002437072048145513,0.726921542971206,0.0012034195655363288,0.020828745598368958,-0.04507798235637894,6.093444270746171,0.022215466373841374,-0.10305313656150382,0.0489287244817557,0.7739699739998773,0.02400365389921832,-1.6065879192552561,3.289616992899113,0.3271826740784489,1.6167937334220013
