video_id,au06_cheek_raise_proxy_mean,au06_cheek_raise_proxy_std,au06_cheek_raise_proxy_activity_per_s,au12_lip_corner_pull_proxy_mean,au12_lip_corner_pull_proxy_std,au12_lip_corner_pull_proxy_activity_per_s,au09_nose_wrinkle_proxy_mean,au09_nose_wrinkle_proxy_std,au09_nose_wrinkle_proxy_activity_per_s,au10_upper_lip_raise_proxy_mean,au10_upper_lip_raise_proxy_std,au10_upper_lip_raise_proxy_activity_per_s,au24_lip_press_proxy_mean,au24_lip_press_proxy_std,au24_lip_press_proxy_activity_per_s,au45_blink_proxy_mean,au45_blink_proxy_std,au45_blink_proxy_activity_per_s,cheek_composite_proxy_mean,cheek_composite_proxy_std,cheek_composite_proxy_activity_per_s,mouth_open_proxy_mean,mouth_open_proxy_std,mouth_open_proxy_activity_per_s,mouth_asymmetry_proxy_mean,mouth_asymmetry_proxy_std,mouth_asymmetry_proxy_activity_per_s,head_yaw_proxy_mean,head_yaw_proxy_std,head_yaw_proxy_activity_per_s,head_roll_deg_mean,head_roll_deg_std,head_roll_deg_activity_per_s
2025-12-23_14-26-24_Orna_1,-0.7715342350727824,0.019556698025531352,0.07354702232646139,-5.8402966096244515e-05,0.025806967645998533,0.06902923237713303,0.37521395793974277,0.009637698592056454,0.05098658905307868,-0.39646139833829686,0.018141534187381188,0.07548853815841661,-0.017876911265948005,0.04122591516442574,0.10108845778396824,-0.6044387469452719,0.07508940812982362,0.2770584702744666,-0.38935134545905853,0.01253269731648164,0.040218405422028515,0.017876911265948005,0.04122591516442574,0.10108845778396824,0.03872523986613112,0.018561982171073126,0.050483900707902755,-0.030153247460609267,0.03626569591364238,0.056041003836936415,-1.797332548291384,2.0114642374901086,3.793962781810841
2025-12-23_14-33-37_Roy_1,-0.6696283592579916,0.026936981092746226,0.11313132407746748,0.05563084397331358,0.02279564995597342,0.06567674779218306,0.39513490107055627,0.023069654777748465,0.09529860072518566,-0.33721314320330603,0.030252765839269592,0.10676131237051788,-0.012521933484746957,0.015221952280718336,0.05117285242154896,-0.4012807106895402,0.19169968101413962,1.1217927824232958,-0.3170702194959947,0.019832370315180908,0.06715621788045607,0.012521933484746957,0.015221952280718336,0.05117285242154896,0.04914982660056969,0.05470478175843208,0.09340061634787329,-0.047514507420152396,0.0947072073378279,0.09270554990667654,-0.7041158120883902,9.1481280310555,7.132690405165635
2025-12-23_14-37-45_Marina_1,-0.7325365258679537,0.023719016115529443,0.0701819870630515,0.062494931762966346,0.0368922497731026,0.037415672872246036,0.36747325074462506,0.01451016361701856,0.04613456936403723,-0.35948739852131556,0.029984277855116342,0.050873879102822754,-0.009793540863774033,0.029960022959950778,0.028240005421036638,-0.4996391458803631,0.1788621130751675,0.38580995010663816,-0.34317633087543425,0.02478904704561409,0.03490747762415554,0.009793540863774033,0.029960022959950778,0.028240005421036638,0.06826448086551044,0.02617054673838513,0.04303602682183766,0.0119502865630006,0.053068002415515916,0.049087819222850645,2.4311777973241733,2.6334638269266644,2.7407979231807547
2025-12-23_14-40-26_Maya_1,-0.7363353112221509,0.031511635958989946,0.08269114721861281,-0.028071627180596633,0.02041720786450551,0.06440670760533009,0.3631909426951112,0.01783957310422609,0.06321866896644858,-0.43088194315245393,0.0314604265113154,0.09413878937836774,-0.007895638728462771,0.009136585439234294,0.03489648493503914,-0.5321165264946883,0.11469291517191307,0.26421327692248564,-0.39842962718506725,0.016502174915068342,0.05227739941597795,0.007895638728462771,0.009136585439234294,0.03489648493503914,0.04484974472712452,0.03134811129076622,0.07808270156217942,-0.0438339530467116,0.0814991079097167,0.08368552786000147,-2.5831669459126725,4.783604255335288,5.128040608625413
2025-12-28_14-03-58,-0.8475381043069308,0.337605284397688,0.3093387017365052,-0.02284758609089262,0.1206015173927336,0.1420284773416948,0.3579013021294979,0.0256992705685974,0.12498359239186839,-0.4589383737780873,0.21931012791264837,0.2255645773478695,-0.027574365935607657,0.06413776620715177,0.15197950196340448,-0.5304922890066522,0.3357837830658274,0.7035865238661791,-0.4431080213919702,0.21902534635657786,0.17304290720233825,0.027574365935607657,0.06413776620715177,0.15197950196340448,0.14415245163323817,0.11309886498397918,0.18422677967010526,-0.08400922452451132,0.1304567007109084,0.18340698598628102,6.28946289345652,21.39771450949396,13.242239141439093
2026-01-08_10-25-28,-0.7883215537170217,0.01373647903525385,0.07521878469466327,0.03917561057396237,0.024071658509756302,0.13859814779713925,0.386794639284803,0.007951287189860273,0.06231402960739168,-0.39823837249310773,0.02325244574878969,0.14070249592521422,-0.03810456424208106,0.04215095728978104,0.2726494080882775,-0.5753544845695319,0.058688581257417466,0.26829587725359205,-0.382461438545389,0.011867449364621275,0.04947527774505578,0.03810456424208106,0.04215095728978104,0.2726494080882775,0.029662021680750713,0.0210387825293702,0.0843107322879666,-0.0378977866935272,0.04227616355490925,0.08019837862935783,-4.7107515659791295,2.399331046433737,5.208836551044884
2026-01-20_14-38-34_Ariella,-0.7244926271043267,0.06802845199904257,0.0787593182099872,0.03642858373092259,0.041921924553279,0.041831352737957544,0.3693542327566129,0.01248711680239432,0.045169428864149305,-0.3748578085314683,0.045053652109904134,0.05890456670324709,-0.010275599206938628,0.03524090347925965,0.03532414311190165,-0.4992979580156599,0.13326795571157476,0.4156671567493651,-0.35430728396829075,0.04048871816656506,0.04240501225879912,0.010275599206938628,0.03524090347925965,0.03532414311190165,0.0625375115791426,0.03721176285034617,0.04374116912936803,0.05237956284310438,0.0798214870892332,0.05074334578304414,6.223786816027979,5.504859086959934,3.5098977990022497
2026-01-20_14-44-42_Maya,-0.7008380863803143,0.014274181525533051,0.04054425440035216,-0.05564789245444207,0.022675369111634883,0.03295311433031867,0.34792034429249313,0.010520399707087007,0.025931632593254945,-0.4155743797861513,0.015887436348840357,0.037140991573291704,-0.006191488177564609,0.014041302318185839,0.021611713019517483,-0.5038819189489049,0.06527756171930049,0.09575017311740232,-0.3906867862069693,0.010854292781682687,0.0234566050766926,0.006191488177564609,0.014041302318185839,0.021611713019517483,0.0531898617189653,0.013936193644379008,0.033223435679396424,0.05916867758674665,0.018964648620175533,0.0360459608102855,6.470405535695719,1.7300901946778255,2.3530403198160896
P1H31277,-0.7635297375934177,0.030283172160288405,0.05247117531919893,0.0157407558109348,0.016621811498821103,0.030529439722501744,0.4096322014298939,0.015234909759323179,0.04715979931498273,-0.4701518523586367,0.02378724009291641,0.050974841124506565,-0.012686854379446158,0.026564070921549082,0.033267720005727835,-0.33374084373603974,0.12189129991927754,0.3066043936288605,-0.40598027804703984,0.019798403674081873,0.03188004596880189,0.012686854379446158,0.026564070921549082,0.033267720005727835,0.09645930082035695,0.030117284952818676,0.036861106527163054,-0.06061358381445081,0.040647900799359586,0.03783083353894336,-6.499999953457742,3.3727084687184106,2.1669137158046103
P1H42065,-0.811869980152858,0.08551966206401475,0.1686305280162762,0.08293045207047607,0.02345694347673662,0.08132796966710605,0.4222915090242559,0.019772515532717708,0.08912187659281516,-0.40826975739022675,0.07554573759212896,0.1407897498621858,-0.010247112257467878,0.016289171408510553,0.051289315334175765,-0.4550178045053206,0.16657811719500373,0.5828919040140619,-0.3790697618242029,0.05222154423569672,0.09630157897457334,0.010247112257467878,0.016289171408510553,0.051289315334175765,0.0320306779455691,0.0458538967025229,0.10185570704812658,-0.09092553600992473,0.08962240348434733,0.10744386338145809,-0.8261250145026374,5.695917761065403,7.2435433216318375
P1L42069,-0.7232358042431397,0.0807194627757673,0.11050941720809453,0.01326930308262223,0.036186957361076036,0.08561499087585572,0.3889335262149306,0.022351777014518244,0.0671358031177641,-0.37206915681843244,0.06669067655027115,0.12742600015483224,-0.029752410825837555,0.05027276908175562,0.1392574871054992,-0.5023318327229528,0.14252972600481859,0.30304395198398704,-0.36067855265965,0.052361611230302044,0.07940608409874449,0.029752410825837555,0.05027276908175562,0.1392574871054992,0.03663516309093207,0.038643739208132244,0.08011450284382446,-0.05179688311662772,0.07130193794946992,0.07953668286787835,-4.723231098220515,4.422569317162515,4.788985927487456
P2H31220,-0.7044312479559027,0.08154391208315234,0.17907325810254426,0.06225712485447594,0.05093832080591028,0.1297133147458283,0.38584038163289813,0.02866020950126312,0.09954064747916772,-0.34141437305688777,0.07141804865751974,0.16996724539929514,-0.05139242669600031,0.0972992505927117,0.2956308045260199,-0.440793873049215,0.19456270787286747,0.7010363073619047,-0.32786283205277145,0.061023886810979075,0.11306489817097826,0.05139242669600031,0.0972992505927117,0.2956308045260199,0.03618855395158328,0.03435692172122742,0.1284858750529116,-0.04474822127959269,0.07786350015000193,0.10567176010782653,-1.9752568256401932,4.237868017492422,7.749514237693893
P2H42009,-0.6978030868947204,0.07032437836301349,0.1325988283579303,0.02770851026836608,0.04633120165078484,0.07807657200491416,0.3606071196168291,0.020675239621532525,0.07834703126117383,-0.3846565391136432,0.062203519777244975,0.1121074744919668,-0.014280185521565241,0.03451142431827093,0.0634757815898603,-0.3717085415550933,0.18794020245108875,0.6095309209989703,-0.35158370524666577,0.04842408811156362,0.07631806909638787,0.014280185521565241,0.03451142431827093,0.0634757815898603,0.05474611448085608,0.05872399609108049,0.09544880748729653,-0.005663200025663389,0.1090114831024942,0.10957879311214312,-5.434645801244942,6.947201410428075,6.710178570820613
P2L40002,-0.7355005160304818,0.14813011630931805,0.1188329086544917,0.009389452633715205,0.023854791677481967,0.05347633931522697,0.38982033763365476,0.019160202899167755,0.07099954287290146,-0.42033030152127465,0.10051803212926645,0.0953659584123537,-0.008457997846290402,0.025173644343333697,0.03333957587469713,-0.5138127070352672,0.2002573375045647,0.60811035570418,-0.3821471216393471,0.08472962647735097,0.06664884509114767,0.008457997846290402,0.025173644343333697,0.03333957587469713,0.017357141005035805,0.021782686518882176,0.062101368955271595,0.039195683269136736,0.0922292418961551,0.06432418729196518,3.1254531019818073,3.129886268847789,4.67026809059877
P2L42107,-0.7801577185492895,0.14321587060129337,0.20741928775563806,0.049442281622392725,0.06839050564683917,0.1167505712874028,0.4015456318521761,0.021553964426576932,0.1042786655032019,-0.38029859598338467,0.10490744664810468,0.16849533513464002,-0.03860331936163011,0.10142605072688675,0.1433259006987956,-0.38091558963137695,0.25568271251430935,0.6941707465646548,-0.37033801097009383,0.09925732619439656,0.11896317035528182,0.03860331936163011,0.10142605072688675,0.1433259006987956,0.0695093550117559,0.05395465466765465,0.1310801827586573,0.03556795845140895,0.11466403516729069,0.12227365746807319,5.270215247658276,5.54646477713701,8.703227384387818
