video_id,trial_id,condition,frame_idx,timestamp_s,face_detected,au06_cheek_raise_proxy,au12_lip_corner_pull_proxy,au09_nose_wrinkle_proxy,au10_upper_lip_raise_proxy,au24_lip_press_proxy,au45_blink_proxy,cheek_composite_proxy,mouth_open_proxy,mouth_asymmetry_proxy,head_yaw_proxy,head_roll_deg,source_file,source_fps,processed_fps,frame_step,t_rel_s,au06_cheek_raise_proxy_delta,au06_cheek_raise_proxy_z,au12_lip_corner_pull_proxy_delta,au12_lip_corner_pull_proxy_z,au09_nose_wrinkle_proxy_delta,au09_nose_wrinkle_proxy_z,au10_upper_lip_raise_proxy_delta,au10_upper_lip_raise_proxy_z,au24_lip_press_proxy_delta,au24_lip_press_proxy_z,au45_blink_proxy_delta,au45_blink_proxy_z,cheek_composite_proxy_delta,cheek_composite_proxy_z,mouth_open_proxy_delta,mouth_open_proxy_z,mouth_asymmetry_proxy_delta,mouth_asymmetry_proxy_z,head_yaw_proxy_delta,head_yaw_proxy_z,head_roll_deg_delta,head_roll_deg_z
P1H31277,2,sweat,17100,171.0,1,-0.7260396591766034,0.0213650065377572,0.3919579168486546,-0.4186869953033484,-0.001456324757803,-0.0794657281817059,-0.3744538826473982,0.001456324757803,0.0831324512647451,-0.1069565886728367,-8.495849088977565,P1H31277.mp4,100.0,100.0,1,-1.0,0.03314127855301108,2.0831794240051202,0.0019828121585131996,0.4861808737969104,-0.0030200450283968117,-0.26726150976257285,0.02801995800624557,1.7842133298529048,0.0017214433877659,2.6380009481193167,0.11351444441149221,0.6560385926364823,0.020828815089081687,1.7160011315356547,-0.0017214433877659,-2.6380009481193167,-0.004740328684484207,-2.0983893003175704,-0.0313378970131043,-10.211224267437816,-0.9164952756652784,-2.128336241255187
P1H31277,2,sweat,17101,171.01,1,-0.7249720720867247,0.021799072204885,0.3903361010705601,-0.4166599905161101,-0.0013165192639696,-0.0755234591117356,-0.3732776634659832,0.0013165192639696,0.0841766349524418,-0.1032893144674676,-8.36687136654706,P1H31277.mp4,100.0,100.0,1,-0.9900000000000091,0.03420886564288983,2.150285328064059,0.0024168778256410013,0.5926127536012367,-0.004641860806491316,-0.4107855067012526,0.0300469627934839,1.9132859344678064,0.0018612488815992999,2.852243849109188,0.11745671348146251,0.678822306778467,0.022005034270496715,1.812905033059086,-0.0018612488815992999,-2.852243849109188,-0.003696144996787498,-1.6361631502616212,-0.027670622807735204,-9.01626982152989,-0.7875175532347747,-1.8288170094030318
P1H31277,2,sweat,17102,171.02,1,-0.7249966653189504,0.0225921919952565,0.3909088261737205,-0.4167697254505761,-0.0013191016616757,-0.0755347946565442,-0.37305806625809,0.0013191016616757,0.0859725565943975,-0.1028003761217668,-8.378310063962413,P1H31277.mp4,100.0,100.0,1,-0.9799999999999898,0.03418427241066413,2.148739457850862,0.0032099976160125006,0.7870838592240595,-0.004069135703330895,-0.360101700893617,0.029937227859017868,1.9062983960574635,0.0018586664838932,2.848286491205043,0.11744537793665391,0.6787567948085891,0.022224631478389878,1.8309967514604975,-0.0018586664838932,-2.848286491205043,-0.0019002233548318093,-0.8411670627490453,-0.02718168446203441,-8.856952841873818,-0.7989562506501269,-1.855380587970498
P1H31277,2,sweat,17103,171.03,1,-0.724681533516281,0.0246444878402045,0.3908315212068345,-0.4167221127528506,-0.0015748247654672,-0.0745553095111554,-0.3722530528096423,0.0015748247654672,0.0875781383174088,-0.1005849139237845,-8.330494032258349,P1H31277.mp4,100.0,100.0,1,-0.9699999999999989,0.03449940421333353,2.168547869470241,0.0052622934609605,1.2903019693726134,-0.004146440670216911,-0.36694287113042967,0.029984840556743386,1.9093302068093996,0.0016029433801016998,2.456407330349519,0.11842486308204271,0.6844175726912683,0.023029644926837567,1.8973185264884864,-0.0016029433801016998,-2.456407330349519,-0.00029464163182051084,-0.13042826537829894,-0.02496622226405211,-8.135060707562186,-0.7511402189460625,-1.7443395429254005
P1H31277,2,sweat,17104,171.04,1,-0.7234588119149754,0.0256407262339244,0.3873570795619982,-0.4159725488924182,-0.0024914871308598,-0.0674115544914944,-0.371263544857823,0.0024914871308598,0.0870688638755047,-0.0932841947264717,-8.236502160869474,P1H31277.mp4,100.0,100.0,1,-0.960000000000008,0.03572212581463907,2.245405148137146,0.006258531854680401,1.5345772784023706,-0.007620882315053201,-0.6744166044190496,0.030734404417175787,1.957059822644705,0.0006862810147090998,1.0516813857169323,0.12556861810170372,0.7257037633037094,0.024019152878656913,1.9788400512475017,-0.0006862810147090998,-1.0516813857169323,-0.0008039160737245976,-0.3558674935302636,-0.017665503066739308,-5.756174817223853,-0.6571483475571878,-1.5260663978564026
P1H31277,2,sweat,17105,171.05,1,-0.7269018046101622,0.0261179352962799,0.3858908139400612,-0.4157705986237724,-0.0024668876062666,-0.0622402495410428,-0.3721848226458848,0.0024668876062666,0.0870919405743153,-0.0932468218090761,-8.285243377254831,P1H31277.mp4,100.0,100.0,1,-0.9499999999999886,0.0322791331194523,2.0289870782023827,0.006735740917035899,1.6515878171584835,-0.009087147936990225,-0.8041750550868776,0.030936354685821565,1.9699193123414724,0.0007108805393023,1.089378570336152,0.13073992305215532,0.7555904939253225,0.023097875090595077,1.9029397314255894,-0.0007108805393023,-1.089378570336152,-0.000780839374914008,-0.3456521896781719,-0.01762813014934371,-5.743997125756704,-0.7058895639425451,-1.6392559581632078
P1H31277,2,sweat,17106,171.06,1,-0.7220954060169614,0.0279145452705391,0.3778723559387499,-0.4160928191683399,-0.0027990516479783,-0.0426880676059445,-0.370091226638254,0.0027990516479783,0.0887226699413128,-0.0911902181985015,-8.381558383177918,P1H31277.mp4,100.0,100.0,1,-0.9399999999999977,0.03708553171265305,2.331105496383122,0.008532350891295101,2.092112353689748,-0.017105605938301516,-1.513775465427733,0.03061413414125408,1.9494014303859881,0.0003787164975906001,0.5803586030261554,0.1502921049872536,0.8685892051129159,0.025191471098225893,2.075422568433261,-0.0003787164975906001,-0.5803586030261554,0.0008498899920834913,0.37621865160369855,-0.015571526538769101,-5.07386789889703,-0.8022045698656317,-1.8629240152996853
P1H31277,2,sweat,17107,171.07,1,-0.7205065462890035,0.0272491150839534,0.3768132648555869,-0.4207513062499194,-0.0029709645029749,-0.0346570718077339,-0.3713362458183231,0.0029709645029749,0.0906135563470167,-0.0905461419890539,-8.339194447800164,P1H31277.mp4,100.0,100.0,1,-0.9300000000000068,0.03867439144061102,2.4309773189990813,0.007866920704709401,1.9289504383383382,-0.018164697021464504,-1.6075006513771881,0.02595564705967457,1.6527651989523418,0.0002068036425939999,0.3169132421749378,0.15832310078546422,0.9150030620299145,0.023946451918156808,1.9728505155994895,-0.0002068036425939999,-0.3169132421749378,0.0027407763977874006,1.2132525507154366,-0.01492745032932151,-4.8640003823486015,-0.7598406344878779,-1.7645441312122128
P1H31277,2,sweat,17108,171.08,1,-0.7173393341507857,0.0236603812612447,0.3748992499097883,-0.4228703174235582,-0.0031854659418911,-0.0357124728366325,-0.3721830901043664,0.0031854659418911,0.0893077026183545,-0.0895348054882988,-8.361264472253177,P1H31277.mp4,100.0,100.0,1,-0.9199999999999875,0.04184160357882882,2.6300605000308863,0.0042781868820007014,1.049001352764165,-0.02007871196726313,-1.776883067636664,0.023836635886035795,1.5178339481178178,-7.697796322200107e-06,-0.011796376308806504,0.1572676997565656,0.9089035404293345,0.023099607632113495,1.9030824684556757,7.697796322200107e-06,0.011796376308806504,0.001434922669125191,0.635193585949211,-0.013916113828566404,-4.534463789170768,-0.7819106589408911,-1.8157963680059477
P1H31277,2,sweat,17109,171.09,1,-0.7172324910824281,0.0259319147248199,0.3769541307453353,-0.4234343267781409,-0.0030430954235581,-0.0371886413824167,-0.3715783010452497,0.0030430954235581,0.0890161740454129,-0.0899128437014971,-8.368718851641743,P1H31277.mp4,100.0,100.0,1,-0.9099999999999966,0.04194844664718633,2.636776393059694,0.0065497203455759,1.6059760109224157,-0.018023831131716128,-1.5950346020255384,0.023272626531453067,1.4819197969123115,0.00013467272201079985,0.20637725926692635,0.1557915312107814,0.9003722602007148,0.0237043966912302,1.9529085725977529,-0.00013467272201079985,-0.20637725926692635,0.0011433940961835948,0.5061433704652485,-0.014294152041764707,-4.6576447727260835,-0.789365038329457,-1.8331073419192982
