video_id,trial_id,condition,frame_idx,timestamp_s,face_detected,au06_cheek_raise_proxy,au12_lip_corner_pull_proxy,au09_nose_wrinkle_proxy,au10_upper_lip_raise_proxy,au24_lip_press_proxy,au45_blink_proxy,cheek_composite_proxy,mouth_open_proxy,mouth_asymmetry_proxy,head_yaw_proxy,head_roll_deg,source_file,source_fps,processed_fps,frame_step,t_rel_s,au06_cheek_raise_proxy_delta,au06_cheek_raise_proxy_z,au12_lip_corner_pull_proxy_delta,au12_lip_corner_pull_proxy_z,au09_nose_wrinkle_proxy_delta,au09_nose_wrinkle_proxy_z,au10_upper_lip_raise_proxy_delta,au10_upper_lip_raise_proxy_z,au24_lip_press_proxy_delta,au24_lip_press_proxy_z,au45_blink_proxy_delta,au45_blink_proxy_z,cheek_composite_proxy_delta,cheek_composite_proxy_z,mouth_open_proxy_delta,mouth_open_proxy_z,mouth_asymmetry_proxy_delta,mouth_asymmetry_proxy_z,head_yaw_proxy_delta,head_yaw_proxy_z,head_roll_deg_delta,head_roll_deg_z
P1L42069,1,control,1300,13.0,1,-0.6834239376132272,0.0111830480828732,0.3683463194680409,-0.3371228971932036,-0.0083504762172184,-0.5481341413862115,-0.3364545955745191,0.0083504762172184,0.0179382368326363,-0.0113403469964172,-2.42645722375051,P1L42069.mp4,100.0,100.0,1,-1.0,-0.0037229999785618473,-2.585063266803618,-0.012226615497920498,-8.385591515942284,-0.0037767497244987625,-0.6175096044252908,-0.002070359937188182,-0.19019641320767833,0.0020967588014084004,3.7237572299427546,0.00226422547234284,0.5373302724210735,-0.005523488704090307,-0.6719961003093061,-0.0020967588014084004,-3.7237572299427546,-9.525002482880032e-05,-0.031161997553388037,0.0006584054620798006,0.19308024636455,-0.1918907655122557,-0.9418717000918061
P1L42069,1,control,1301,13.01,1,-0.683510897745939,0.0112193445633031,0.3682694954474838,-0.3372432194182833,-0.008463015253052,-0.5477620499031362,-0.3365115908669731,0.008463015253052,0.0178987150227382,-0.0112773938601381,-2.4181473262292896,P1L42069.mp4,100.0,100.0,1,-0.9900000000000002,-0.003809960111273658,-2.645443993648668,-0.012190319017490599,-8.360697671983317,-0.003853573745055905,-0.6300705560384924,-0.002190682162267865,-0.20124997700026373,0.0019842197655748003,3.5238925397100656,0.0026363169554182164,0.6256324403847504,-0.005580483996544261,-0.678930234932716,-0.0019842197655748003,-3.5238925397100656,-0.000134771834726901,-0.04409195264330727,0.0007213585983589007,0.211541525564443,-0.18358086799103512,-0.9010836127390521
P1L42069,1,control,1302,13.02,1,-0.6836922475815089,0.0112631338539874,0.3683272272312934,-0.3369961877357409,-0.0084190327875664,-0.5475561686113095,-0.3364751004877541,0.0084190327875664,0.0179312958283229,-0.011273962651215,-2.414169218458413,P1L42069.mp4,100.0,100.0,1,-0.9800000000000004,-0.003991309946843602,-2.771364165841049,-0.012146529726806299,-8.330664904165122,-0.0037958419612462713,-0.6206312408644415,-0.0019436504797255005,-0.1785560776814686,0.0020282022310604015,3.6020035860224517,0.0028421982472448537,0.6744907594765952,-0.005543993617325271,-0.6744907594765952,-0.0020282022310604015,-3.6020035860224517,-0.00010219102914220055,-0.03343281648305233,0.0007247898072819999,0.21254774240551766,-0.17960276022015842,-0.8815575708302519
P1L42069,1,control,1303,13.03,1,-0.6836165725646259,0.0115108045367004,0.3681766093106299,-0.3375901795803224,-0.0085014817538743,-0.5474074060206762,-0.336565315869416,0.0085014817538743,0.0180334868574651,-0.0113146453380304,-2.4152127967732677,P1L42069.mp4,100.0,100.0,1,-0.9700000000000006,-0.00391563492996061,-2.718819253811655,-0.011898859044093298,-8.16080062929208,-0.003946459881909781,-0.6452577105521112,-0.0025376423243069768,-0.2331239411165795,0.0019457532647525009,3.455577619342772,0.0029909608378781982,0.7097940648794664,-0.0056342089989872,-0.6854665010617709,-0.0019457532647525009,-3.455577619342772,0.0,0.0,0.0006841071204666,0.20061736872927802,-0.18064633853501322,-0.8866798438013733
P1L42069,1,control,1304,13.04,1,-0.6834772343991822,0.0113778315123631,0.3679978170964188,-0.3373020629563593,-0.0083845932454343,-0.5480148823992059,-0.3364671552810594,0.0083845932454343,0.0179773449477272,-0.0113154302659133,-2.4216552857633262,P1L42069.mp4,100.0,100.0,1,-0.9600000000000009,-0.003776296764516851,-2.6220698648171363,-0.012031832068430599,-8.251999822144894,-0.004125252096120857,-0.6744907594765952,-0.0022495257003438685,-0.20665571813806088,0.0020626417731925,3.6631667936952548,0.0023834844593484394,0.565631987404464,-0.005536048410630601,-0.6735241334543466,-0.0020626417731925,-3.6631667936952548,-5.614190973789873e-05,-0.018367386854118126,0.0006833221925837008,0.20038718523637405,-0.18708882752507172,-0.9183019911292581
P1L42069,1,control,1305,13.05,1,-0.6835028411573778,0.0111415654215273,0.3682313038380466,-0.3371443352081286,-0.0083694946951824,-0.5477391879600073,-0.3365018703146596,0.0083694946951824,0.0178662747068732,-0.0113895890492565,-2.4231240716128406,P1L42069.mp4,100.0,100.0,1,-0.9499999999999993,-0.0038019035227124798,-2.6398499052078463,-0.012268098159266399,-8.4140422882022,-0.003891765354493093,-0.6363149956641689,-0.0020917979521131724,-0.19216584541692186,0.0020777403234444013,3.6899811967750966,0.0026591788985470544,0.6310578780364091,-0.005570763444230797,-0.6777476176418246,-0.0020777403234444013,-3.6899811967750966,-0.00016721215059189998,-0.054705126187704824,0.0006091634092405002,0.17863980162146564,-0.1885576133745861,-0.9255113418317782
P1L42069,1,control,1306,13.06,1,-0.6930466222516491,0.0170870343075788,0.3671923233776177,-0.3431323646795056,-0.0136416806492512,-0.5562517731532395,-0.339697317541192,0.0136416806492512,0.0251701774314973,-0.0099108756247198,-2.1994560271833823,P1L42069.mp4,100.0,100.0,1,-0.9399999999999995,-0.013345684616983822,-9.266569775011853,-0.006322629273214898,-4.33635836515319,-0.004930745814921977,-0.8061913337660259,-0.008079827423490171,-0.7422642641414224,-0.003194445630624399,-5.673203806134738,-0.005853406294685115,-1.3890897515873115,-0.008766210670763164,-1.066510624142368,0.003194445630624399,5.673203806134738,0.007136690574032201,2.334839645522431,0.0020878768337772007,0.6122789020782431,0.035110431054872215,0.1723351371303824
P1L42069,1,control,1307,13.07,1,-0.6908673762212811,0.0214039152499167,0.367280642729298,-0.3433676565925631,-0.0120631752285958,-0.5606211114116184,-0.3376103725213091,0.0120631752285958,0.0202722647034817,-0.0089001938963631,-2.039525995661951,P1L42069.mp4,100.0,100.0,1,-0.9299999999999997,-0.011166438586615812,-7.7534113289008495,-0.0020057483308769976,-1.375637124548342,-0.004842426463241678,-0.7917508619588987,-0.00831511933654766,-0.7638796736731032,-0.0016159402099689985,-2.8698432246882106,-0.010222744553064045,-2.425990778164526,-0.006679265650880284,-0.8126096948469591,0.0016159402099689985,2.8698432246882106,0.0022387778460166013,0.7324385467147322,0.0030985585621338997,0.9086656855214351,0.19504046257630359,0.9573315921849432
P1L42069,1,control,1308,13.08,1,-0.6879565196409558,0.0220614557296658,0.3681176738071807,-0.3423946244324922,-0.0114513566269713,-0.5663726112672764,-0.3360965627812608,0.0114513566269713,0.0177387752459684,-0.00956128839284,-2.0519491458830017,P1L42069.mp4,100.0,100.0,1,-0.9199999999999999,-0.008255582006290507,-5.73225944491957,-0.001348207851127898,-0.9246647463533733,-0.00400539538535899,-0.654893837400934,-0.007342087176476775,-0.6744907594765952,-0.0010041216083445,-1.7832785994760143,-0.015974244408722083,-3.7908968010054145,-0.005165455910832006,-0.6284372820077032,0.0010041216083445,1.7832785994760143,-0.0002947116114967001,-0.0964178490548629,0.002437464065657001,0.7147968682020902,0.1826173123552528,0.8963541210285749
P1L42069,1,control,1309,13.09,1,-0.6854383530007773,0.0220558474959426,0.3686286518123908,-0.3400627380252474,-0.0108142476884648,-0.5664982937729893,-0.3344817478433606,0.0108142476884648,0.0165295414025113,-0.0096163446101344,-2.01723062066615,P1L42069.mp4,100.0,100.0,1,-0.9100000000000001,-0.005737415366111942,-3.983771634363502,-0.0013538160848510991,-0.9285111384425574,-0.0034944173801488843,-0.5713474419857089,-0.005010200769231976,-0.4602688637090152,-0.0003670126698379992,-0.6517993781029311,-0.01609992691443496,-3.8207229008608254,-0.0035506409729317845,-0.43197642201054626,0.0003670126698379992,0.6517993781029311,-0.0015039454549538,-0.4920307860489788,0.0023824078483626002,0.6986513946127252,0.2173358375721044,1.066765637619183
P1L42069,1,control,1310,13.1,1,-0.6832888929704815,0.0225659315913419,0.3682777418681113,-0.3380137695638303,-0.0103214809732559,-0.5663599405509963,-0.3329122436476566,0.0103214809732559,0.0151204641201786,-0.0101276693050253,-2.027216342473185,P1L42069.mp4,100.0,100.0,1,-0.9000000000000004,-0.0035879553358161287,-2.4912950832551917,-0.0008437319894517986,-0.5786713268017184,-0.0038453273244283825,-0.6287222421942908,-0.002961232307814865,-0.2720376073283195,0.00012575404537090024,0.2233340026186585,-0.01596157369244189,-3.787889874569081,-0.0019811367772277766,-0.24102813634624315,-0.00012575404537090024,-0.2233340026186585,-0.0029130227372865004,-0.9530245013105575,0.0018710831534716997,0.548703218681816,0.20735011576506945,1.0177519774259565
P1L42069,1,control,1311,13.11,1,-0.68212004839348,0.0222364755963952,0.3688956286810587,-0.3369124071872438,-0.0101999422999925,-0.5663525164941031,-0.3322653266614428,0.0101999422999925,0.0152752305766341,-0.0105502016301306,-2.036922732985773,P1L42069.mp4,100.0,100.0,1,-0.8900000000000006,-0.0024191107588146243,-1.6797084063795211,-0.0011731879843984994,-0.8046278391800831,-0.0032274405114809945,-0.5276959446433237,-0.0018598699312283862,-0.17085946438515232,0.000247292718634301,0.43918167807767594,-0.015954149635548753,-3.7861280489198315,-0.001334219791014002,-0.16232322442389624,-0.000247292718634301,-0.43918167807767594,-0.0027582562808309997,-0.9023911083420909,0.0014485508283663996,0.42479378881376695,0.19764372525248142,0.9701093797770228
P1L42069,1,control,1312,13.12,1,-0.6814659084476185,0.0217858796481781,0.3694789948946519,-0.3350135565832294,-0.0096079510175655,-0.5659071247367072,-0.3315645284608899,0.0096079510175655,0.0170540467685544,-0.0109600927912205,-2.0699953697573936,P1L42069.mp4,100.0,100.0,1,-0.8800000000000008,-0.001764970812953126,-1.225506645667001,-0.0016237839326155995,-1.113667864290052,-0.0026440742978877663,-0.4323138658536461,3.898067278601536e-05,0.0035810121781971074,0.0008392840010613013,1.4905338014215248,-0.015508757878152868,-3.680430768653834,-0.0006334215904610918,-0.07706304139381341,-0.0008392840010613013,-1.4905338014215248,-0.0009794400889106998,-0.3204336136308995,0.0010386596672765005,0.30459143490878526,0.16457108848086088,0.8077764997165933
